Week,Weekly breakdown ,Avg Weekly Flu,Avg Weekly Pollen,Avg Weekly Temperature ,Avg Weekly K.Brevis,Tourists (%occupancy),ED Visits (all),ED Vistis (bronchitis/UAD)
1.29.2005,175,18.8,320,61,1076408,69%,73,48
2.5.2005,176,28.3,354,61,387755,81%,69,47
2.12.2005,177,28.1,435,62,134646,81%,69,47
2.19.2005,178,27.7,241,66,232090,81%,69,47
2.26.2005,179,25.2,457,61,6531615,81%,69,47
3.5.2005,180,29.6,435,61,454935,91%,78,58
3.12.2005,181,24.5,1187,66,277894,91%,78,58
3.19.2005,182,27.8,976,68,21644,91%,78,58
3.26.2005,183,19.7,475,72,5936,91%,78,58
4.2.2005,184,18.7,241,68,2769,78%,64,47
4.9.2005,185,11.4,248,69,164778,78%,64,47
4.16.2005,186,5.3,620,67,89440,78%,64,47
4.23.2005,187,2.8,337,69,3496,78%,64,47
4.30.2005,188,2.1,143,73,2866982,78%,64,47
5.7.2005,189,2.5,63,73,111108,67%,25,14
5.14.2005,190,0,40,76,147577,67%,25,14
5.21.2005,191,0,47,77,511585,67%,25,14
5.28.2005,192,0,26,78,391751,67%,25,14
6.4.2005,193,0,22,78,309196,70%,34,22
6.11.2005,194,0,50,81,587299,70%,34,22
6.18.2005,195,0,32,79,985846,70%,34,22
6.25.2005,196,0,38,80,4299132,70%,34,22
7.2.2005,197,0,35,84,177382,70%,19,11
7.9.2005,198,0,22,81,3277565,70%,19,11
7.16.2005,199,0,39,83,194341,70%,19,11
7.23.2005,200,0,24,83,587734,70%,19,11
7.30.2005,201,0,20,83,78662,70%,19,11
8.6.2005,202,0,16,83,190539,58%,27,15
8.13.2005,203,0,19,85,105747,58%,27,15
8.20.2005,204,0,19,83,153311,58%,27,15
8.27.2005,205,0,18,83,648820,58%,27,15
9.3.2005,206,0,18,81,812956,47%,17,12
9.10.2005,207,0,28,82,6121227,47%,17,12
9.17.2005,208,0,24,82,5185757,47%,17,12
9.24.2005,209,0,14,80,776089,47%,17,12
10.1.2005,210,1.8,10,80,284033,61%,22,13
10.8.2005,211,0.5,24,81,38196,61%,22,13
10.15.2005,212,1.4,161,78,11992,61%,22,13
10.22.2005,213,0.4,29,69,10307,61%,22,13
10.29.2005,214,0.2,20,69,14043,61%,22,13
11.5.2005,215,0.5,0,73,431360,66%,35,24
11.12.2005,216,0.2,0,72,20679,66%,35,24
11.19.2005,217,0,0,69,10743,66%,35,24
11.26.2005,218,1.9,0,67,116664,66%,35,24
12.3.2005,219,2.7,0,66,179535,59%,38,21
12.10.2005,220,2,0,61,11936,59%,38,21
12.17.2005,221,2.6,0,58,28,59%,38,21
12.24.2005,222,10.9,0,61,91,59%,38,21
12.31.2005,223,0,0,65,5763,59%,38,21
1.7.2006,224,7,0,61,443,67%,33,14
1.14.2006,225,6.6,0,60,769,67%,33,14
1.21.2006,226,7.9,0,67,45,67%,33,14
1.28.2006,227,12.1,0,65,0,67%,33,14
2.4.2006,228,16.8,0,59,31,80%,52,30
2.11.2006,229,17.7,0,56,4,80%,52,30
2.18.2006,230,22.5,0,66,123,80%,52,30
2.25.2006,231,19.6,4252,65,0,80%,52,30
3.4.2006,232,30.6,2840,65,0,85%,64,37
3.11.2006,233,30.6,2515,70,17,85%,64,37
3.18.2006,234,25.5,1398,69,0,85%,64,37
3.25.2006,235,28.4,283,64,0,85%,64,37
4.1.2006,236,26.6,338,70,8,75%,139,103
4.8.2006,237,23.8,90,71,0,75%,139,103
4.15.2006,238,14.5,331,66,0,75%,139,103
4.22.2006,239,12.2,85,77,0,75%,139,103
4.29.2006,240,7.6,66,73,0,75%,139,103
5.6.2006,241,5,35,77,43,66%,163,123
5.13.2006,242,2.1,21,75,36,66%,163,123
5.20.2006,243,0,28,78,0,66%,163,123
5.27.2006,244,0,37,79,0,66%,163,123
6.3.2006,245,0,31,80,0,63%,79,50
6.10.2006,246,0,12,80,45,63%,79,50
6.17.2006,247,0,29,82,489,63%,79,50
6.24.2006,248,0,36,81,18,63%,79,50
7.1.2006,249,0,45,81,0,67%,76,46
7.8.2006,250,0,62,79,0,67%,76,46
7.15.2006,251,0,25,78,0,67%,76,46
7.22.2006,252,0,23,82,8054,67%,76,46
7.29.2006,253,0,25,83,138473,67%,76,46
8.5.2006,254,0,24,83,77640,50%,110,80
8.12.2006,255,0,24,82,304421,50%,110,80
8.19.2006,256,0,17,81,2799672,50%,110,80
8.26.2006,257,0,29,82,3366496,50%,110,80
9.2.2006,258,0,34,81,3988648,48%,164,114
9.9.2006,259,0,41,81,593743,48%,164,114
9.16.2006,260,0,54,81,494441,48%,164,114
9.23.2006,261,0,50,80,565516,48%,164,114
